Province;City;URL;Data source-CN;Data source-EN;Type-CN;Type-EN
Anhui;Fuyang;http://wjw.fy.gov.cn/;阜阳市卫生健康委员会;Fuyang Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Hefei;http://wjw.hefei.gov.cn/;合肥市卫生健康委员会;Hefei Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Huaibei;http://wjw.huaibei.gov.cn/xxfb/tzgg/index.html;淮北市卫生健康委员会;Huaibei Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Huainan;http://wjw.huainan.gov.cn/xwzx/tzgg/index.html;淮南市卫生健康委员会;Huainan Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Lu'an;http://www.luan.gov.cn/zwzx/jrla/zxyw/index.html;六安市人民政府;Liuan Municipal People's Government;国家、省、市、自治区政府网站;Websites of the governments of countries, provinces, cities and autonomous regions
Anhui;Anqing;http://wjw.anqing.gov.cn/;安庆市卫生健康委员会;Anqing Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Bozhou;http://wjw.bozhou.gov.cn/;亳州市卫生健康委员会;Bozhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Suzhou;http://wjw.ahsz.gov.cn/;宿州市卫生健康委员会;Suzhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Fuyang;http://wjw.fy.gov.cn/;阜阳市卫生健康委员会;Fuyang Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Hefei;http://wjw.hefei.gov.cn/;合肥市卫生健康委员会;Hefei Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Huaibei;http://wjw.huaibei.gov.cn/xxfb/tzgg/index.html;淮北市卫生健康委员会;Huaibei Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Huainan;http://wjw.huainan.gov.cn/xwzx/tzgg/index.html;淮南市卫生健康委员会;Huainan Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Lu'an;http://www.luan.gov.cn/zwzx/jrla/zxyw/index.html;六安市人民政府;Liuan Municipal People's Government;国家、省、市、自治区政府网站;Websites of the governments of countries, provinces, cities and autonomous regions
Anhui;Anqing;http://wjw.anqing.gov.cn/;安庆市卫生健康委员会;Anqing Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Bozhou;http://wjw.bozhou.gov.cn/;亳州市卫生健康委员会;Bozhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Anhui;Suzhou;http://wjw.ahsz.gov.cn/;宿州市卫生健康委员会;Suzhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
BeiJing;;http://wjw.beijing.gov.cn/;北京市卫生健康委员会;Beijing Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Fujian;Fuzhou;http://www.fuzhou.gov.cn/zgfzzt/swjw/fzwj/wjgg/;福州市卫生健康委员会;Fuzhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Fujian;Fuzhou;http://www.fuzhou.gov.cn/zgfzzt/swjw/fzwj/wjgg/;福州市卫生健康委员会;Fuzhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Lanzhou;http://wsjk.gansu.gov.cn/;甘肃省卫生健康委员会;Gansu Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Dingxi;http://wsjk.gansu.gov.cn/;甘肃省卫生健康委员会;Gansu Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Pingliang;http://wjw.pingliang.gov.cn/;平凉市卫生健康委员会;Pingliang Municipal Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Tianshui;http://wjw.pingliang.gov.cn/;甘肃省卫生健康委员会;Gansu Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Lanzhou;http://wsjk.gansu.gov.cn/;甘肃省卫生健康委员会;Gansu Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Dingxi;http://wsjk.gansu.gov.cn/;甘肃省卫生健康委员会;Gansu Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Pingliang;http://wjw.pingliang.gov.cn/;平凉市卫生健康委员会;Pingliang Municipal Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Tianshui;http://wjw.pingliang.gov.cn/;甘肃省卫生健康委员会;Gansu Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Lanzhou;http://wsjk.gansu.gov.cn/;甘肃省卫生健康委员会;Gansu Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Dingxi;http://wsjk.gansu.gov.cn/;甘肃省卫生健康委员会;Gansu Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Pingliang;http://wjw.pingliang.gov.cn/;平凉市卫生健康委员会;Pingliang Municipal Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Gansu;Tianshui;http://wjw.pingliang.gov.cn/;甘肃省卫生健康委员会;Gansu Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangdong;Dongguan;http://dghb.dg.gov.cn/;东莞市卫生健康局;Dongguan Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangdong;Maoming;https://weibo.com/238076780;广东省茂名市人民政府新闻办公室官方微博;Official Weibo of the Information Office of the People's Government of Maoming Municipal, Guangdong Province;官方微博;Official Weibo
Guangdong;Zhuhai;https://weibo.com/u/3603732332;珠海市卫生健康局微博;Zhuhai Municipal Health Bureau Weibo;官方微博;Official Weibo
Guangdong;Shenzhen;http://wjw.sz.gov.cn/;深圳市卫生健康委员会;Shenzhen Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangdong;Dongguan;http://dghb.dg.gov.cn/;东莞市卫生健康局;Dongguan Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangdong;Maoming;https://weibo.com/238076780;广东省茂名市人民政府新闻办公室官方微博;Official Weibo of the Information Office of the People's Government of Maoming Municipal, Guangdong Province;官方微博;Official Weibo
Guangdong;Zhuhai;https://weibo.com/u/3603732332;珠海市卫生健康局微博;Zhuhai Municipal Health Bureau Weibo;官方微博;Official Weibo
Guangdong;Shenzhen;http://wjw.sz.gov.cn/;深圳市卫生健康委员会;Shenzhen Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Beihai;http://xxgk.beihai.gov.cn/bhswshjhsywyh/#.airline;北海市卫生健康委员会;Beihai Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Guilin;http://wjw.guilin.gov.cn/;桂林市卫生健康委员会;Guilin Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Hechi;http://wjw.hechi.gov.cn/;河池市卫生健康委员会;Hechi Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Liuzhou;http://wjw.liuzhou.gov.cn/;柳州市卫生健康委员会;Liuzhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Nanning;http://wjw.nanning.gov.cn/;南宁市卫生健康委员会;Nanning Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Baise;http://news.bsyjrb.cn/node_400.htm;百色新闻网;Baise News Net; 国家、省、市官方附属机构网站; Websites of official affiliates of countries, provinces and cities
Guangxi;Yulin;http://wjw.yulin.gov.cn/;玉林市卫生健康委员会;Yulin Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Fangchenggang;http://www.fcgs.gov.cn/wjw/zwgk/;防城港市卫生健康委员会;Fangchenggang Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Wuzhou;http://wjw.wuzhou.gov.cn/gggs/index.shtml;梧州市卫生健康委员会;Wuzhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Baise;https://v.gxnews.com.cn/zt/2025yq;广西新闻网可视化大数据实验室;Guangxi News Visualization Big data Laboratory; 国家、省、市官方附属机构网站; Websites of official affiliates of countries, provinces and cities
Guangxi;Qinzhou;https://v.gxnews.com.cn/zt/2028yq;广西新闻网可视化大数据实验室;Guangxi News Visualization Big data Laboratory; 国家、省、市官方附属机构网站; Websites of official affiliates of countries, provinces and cities
Guangxi;Guigang;https://v.gxnews.com.cn/zt/2030yq;广西新闻网可视化大数据实验室;Guangxi News Visualization Big data Laboratory; 国家、省、市官方附属机构网站; Websites of official affiliates of countries, provinces and cities
Guangxi;Hezhou;https://v.gxnews.com.cn/zt/2031yq;广西新闻网可视化大数据实验室;Guangxi News Visualization Big data Laboratory; 国家、省、市官方附属机构网站; Websites of official affiliates of countries, provinces and cities
Guangxi;Laibin;https://v.gxnews.com.cn/zt/2032yq;广西新闻网可视化大数据实验室;Guangxi News Visualization Big data Laboratory; 国家、省、市官方附属机构网站; Websites of official affiliates of countries, provinces and cities
Guangxi;Beihai;http://xxgk.beihai.gov.cn/bhswshjhsywyh/#.airline;北海市卫生健康委员会;Beihai Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Guilin;http://wjw.guilin.gov.cn/;桂林市卫生健康委员会;Guilin Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Hechi;http://wjw.hechi.gov.cn/;河池市卫生健康委员会;Hechi Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Liuzhou;http://wjw.liuzhou.gov.cn/;柳州市卫生健康委员会;Liuzhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Nanning;http://wjw.nanning.gov.cn/;南宁市卫生健康委员会;Nanning Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Baise;http://news.bsyjrb.cn/node_400.htm;百色新闻网;Baise News Net; 国家、省、市官方附属机构网站; Websites of official affiliates of countries, provinces and cities
Guangxi;Yulin;http://wjw.yulin.gov.cn/;玉林市卫生健康委员会;Yulin Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Fangchenggang;http://www.fcgs.gov.cn/wjw/zwgk/;防城港市卫生健康委员会;Fangchenggang Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Guangxi;Wuzhou;http://wjw.wuzhou.gov.cn/gggs/index.shtml;梧州市卫生健康委员会;Wuzhou Municipal Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;GuiYang;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;ZunYi;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;BiJie;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;LiuPanShui;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;TongRen;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;Qian NanZhou;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;Qian Dongnanzhou;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;Qian Xinanzhou;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;AnShun;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;GuiYang;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Province Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;ZunYi;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Province Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;BiJie;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Province Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;LiuPanShui;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Province Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;TongRen;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Province Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;Qian NanZhou;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Province Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;Qian Dongnanzhou;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Province Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;Qian Xinanzhou;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Province Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;AnShun;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Province Health Commussion; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;GuiYang;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;ZunYi;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;BiJie;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;LiuPanShui;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;TongRen;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;Qian NanZhou;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;Qian Dongnanzhou;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;Qian Xinanzhou;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
GuiZhou;AnShun;http://www.gzhfpc.gov.cn;贵州省卫生健康委员会;Guizhou Provincial Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Baoting;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Changjiang;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Chengmai;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Danzhou;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Dingan;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Dongfang;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Haikou;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Ledong;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Ningao;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Lingshui;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Qionghai;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Qiongzhong;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Sanya;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Wanning;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hainan;Wenchang;http://wst.hainan.gov.cn/yqfk/index/index/qianyi.html;海南省卫生健康委员会;Hainan Health Committee; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Cangzhou;https://weibo.com/cangzhounews;沧州晚报微博;Cangzhou Evening News Weibo;官方微博;Official Weibo
Hebei;Tangshan;http://wsjkwyh.tangshan.gov.cn/;唐山市卫生健康委员会;Tangshan Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Shijiazhuang;http://wsjk.sjz.gov.cn;石家庄市卫生健康委员会;Shijiazhuang Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Chengde;http://wjw.chengde.gov.cn/;承德市卫生健康委员会;Chengde Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Xingtai;http://wsjkw.xingtai.gov.cn;邢台市卫生健康委员会;Xingtai Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Qinhuangdao;http://wjw.qhd.gov.cn/;秦皇岛市卫生健康委员会;Qinhuangdao Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Langfang;http://wjw.lf.gov.cn/html/index.html;廊坊市卫生健康委员会;Langfang Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Cangzhou;https://weibo.com/cangzhounews;沧州晚报微博;Cangzhou Evening News Weibo;官方微博;Official Weibo
Hebei;Tangshan;http://wsjkwyh.tangshan.gov.cn/;唐山市卫生健康委员会;Tangshan Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Shijiazhuang;http://wsjk.sjz.gov.cn;石家庄市卫生健康委员会;Shijiazhuang Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Chengde;http://wjw.chengde.gov.cn/;承德市卫生健康委员会;Chengde Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Xingtai;http://wsjkw.xingtai.gov.cn;邢台市卫生健康委员会;Xingtai Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
Hebei;Qinhuangdao;http://wjw.qhd.gov.cn/;秦皇岛市卫生健康委员会;Qinhuangdao Municipal Health Commission; 国家、省、市、自治区卫生委员会网站;Websites of national, provincial, municipal and autonomous regional Health Commission
